condition,metric,reliable_only,n,mean,median,std,p90,p95,p99,max
normal,eye_mean_speed,True,1173,0.21754340802574212,0.1370110847055912,0.22400612853332622,0.5070595681667328,0.6386102080345152,1.127387866973875,1.617193639278412
normal,mouth_motion,True,1173,0.23884047999841504,0.139644056558609,0.25379572381119847,0.5549341559410095,0.7663877844810477,1.1764397859573363,2.0697896480560303
normal,head_motion,True,1173,0.19718802966279092,0.1204591169953346,0.20016902683056748,0.4557464361190795,0.602148783206938,0.9588331365585321,1.391682744026184
blinking,eye_mean_speed,True,1029,0.15582486191281164,0.0977700315415859,0.16951729223992165,0.321502897143364,0.5036063134670257,0.8952637946605684,1.306259036064148
blinking,mouth_motion,True,1029,0.15818631451529885,0.0872700810432434,0.19764507140115423,0.359175306558609,0.5288365364074697,1.081064972877504,1.481728434562683
blinking,head_motion,True,1029,0.14498821815767257,0.0851758792996406,0.17060869119709998,0.31467987895011906,0.5229369044303892,0.9239384222030658,1.1707563400268557
fake_drowsy,eye_mean_speed,True,481,0.3486439580128774,0.269953541457653,0.26846397460817945,0.7237636148929596,0.843158632516861,1.2570069670677178,1.8192074298858645
fake_drowsy,mouth_motion,True,481,0.42777500823604836,0.3469967842102051,0.3051762960819351,0.8345521092414856,1.0209317207336426,1.4009210824966427,2.3930230140686035
fake_drowsy,head_motion,True,481,0.3479612156934649,0.2748816907405853,0.2557273502512701,0.6885184049606323,0.8078898787498474,1.2235051870346065,1.98772931098938
head_nod,eye_mean_speed,True,497,0.4633663077379616,0.3029949069023132,0.4347316767540999,1.0412647247314453,1.364515686035156,2.123136944770815,2.606178045272827
head_nod,mouth_motion,True,497,0.5346354341632883,0.3474719524383545,0.499806560736189,1.1587149143218995,1.5768035173416133,2.1982256698608422,2.942049980163574
head_nod,head_motion,True,497,0.4513089434624138,0.3104588985443115,0.39795026763330105,0.9938130259513854,1.272942805290222,1.8766167974472052,2.3541619777679443
